OBJECTID,StaType,StnType,ZipCode,State,City,Address,Station Name,lon,lat,Code
897,Platform only (no shelter),TRAIN,98292,WA,Stanwood,27111 Florence Way,"Stewart, MN",-122.349935,48.242638,STW
898,Station Building (with waiting room),TRAIN,94585,CA,Suisun City,177 Main Street,"Suisun-Fairfield, CA",-122.041099,38.243401,SUI
904,Station Building (with waiting room),TRAIN,53177,WI,Sturtevant,9900 East Exploration Court,"Sevierville, TN",-87.9063,42.718292,SVT
911,Station Building (with waiting room),TRAIN,13208,NY,Syracuse,1 Walsh Circle,Regional Transportation Center,-76.169244,43.076548,SYR
913,Station Building (with waiting room),TRAIN,98421,WA,Tacoma,422 East 25th Street,Tacoma,-122.428099,47.239803,TAC
914,Platform only (no shelter),TRAIN,76574,TX,Taylor,118 East First Street,"Taylor, TX",-97.407763,30.567667,TAY
915,Station Building (with waiting room),TRAIN,30577,GA,Toccoa,47 North Alexander Street,"Tucson, AZ",-83.331542,34.578456,TCA
916,Station Building (with waiting room),TRAIN,35401,AL,Tuscaloosa,2105 Greensboro Avenue,Tuscaloosa,-87.560228,33.193165,TCL
922,Platform with Shelter,TRAIN,25936,WV,Thurmond,Hwy 25 & Hwy 2,"Thief River Falls, MN",-81.078754,37.956986,THN
924,Station Building (with waiting room),TRAIN,54660,WI,Tomah,North Superior Avenue and Washington Street,"Toledo, OH",-90.505331,43.986007,TOH
925,Station Building (with waiting room),TRAIN,43604,OH,Toledo,415 Emerald Avenue,"Tolland, CT",-83.541721,41.638345,TOL
926,Station Building (with waiting room),TRAIN,66607,KS,Topeka,500 SE Holliday Place,Topeka,-95.664916,39.051415,TOP
927,Station Building (with waiting room),TRAIN,33602,FL,Tampa,601 North Nebraska Avenue ,Union Station,-82.450777,27.952492,TPA
928,Station Building (with waiting room),TRAIN,76501,TX,Temple,315 West Avenue B,"Temple, TX",-97.345792,31.095883,TPL
931,Platform with Shelter,TRAIN,95377,CA,Tracy,4800 Tracy Boulevard,ACE Station,-121.43397,37.696211,TRC
932,Station Building (with waiting room),TRAIN,8609,NJ,Trenton,72 South Clinton Avenue,Trenton Transit Center,-74.75444,40.219011,TRE
934,Platform only (no shelter),TRAIN,81082,CO,Trinidad,110 West Pine Street,"Trinidad, CO",-104.507981,37.172688,TRI
935,Platform with Shelter,TRAIN,95316,CA,Denair,3800 Santa Fe Avenue,"Truckee, CA",-120.798009,37.527229,TRK
936,Station Building (with waiting room),TRAIN,48084,MI,Troy,1201 Doyle Drive,"Thermal, CA",-83.191026,42.542555,TRM
938,Station Building (with waiting room),TRAIN,96161,CA,Truckee,10065 Donner Pass Road,Truckee,-120.185387,39.327616,TRU
943,Platform with Shelter,TRAIN,98188,WA,Tukwila,7301 Longacres Way,"Tukwila, WA",-122.240254,47.461081,TUK
944,Station Building (with waiting room),TRAIN,85701,AZ,Tucson,400 North Toole Avenue,Tucson,-110.96677,32.222977,TUS
947,Station Building (with waiting room),TRAIN,M5J 1E7,ON,Toronto,65 Front Street West,Union Station,-79.380762,43.645427,TWO
948,Station Building (with waiting room),TRAIN,71854,AR,Texarkana,100 East Front Street,"Texarkana, AR",-94.043082,33.420067,TXA
950,Platform with Shelter,TRAIN,16686,PA,Tyrone,Pennsylvania Avenue and West 10th Street,Tyrone,-78.24047,40.667705,TYR
951,Station Building (with waiting room),TRAIN,13501,NY,Utica,321 Main Street,"Utica, NY",-75.223434,43.103892,UCA
